,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,581.941926666,0.0154930465102,0.000469046864199,0.0033807005082,0.00516680250182,0.000170030575471,152.344067784,0.00600214235277,-0.0015639794767,0.0016276945924,0.0150409232974,-4.0465522523e-05
$\sigma$,877.797762034,0.0132142057095,0.018254150075,0.010508900351,0.0373793824509,0.0100978257092,908.097456097,0.0176322518091,0.0154539010093,0.00812675273465,0.0379536697246,0.0152145886166
$\sigma_{\mu}$,196.281546641,0.00295478622351,0.00408175204392,0.00234986155535,0.00835828401172,0.00225794247108,203.056764203,0.00394269136416,0.00345559731744,0.0018171971551,0.00848669854998,0.00340208543965
