,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25581.9419267,1.01549304651,0.000469046864199,0.0033807005082,-1.11224938959,-0.00523741446542,25152.3440678,1.00600214235,-0.0015639794767,0.0016276945924,1.1166649412,0.0185889669143
$\sigma$,877.797762034,0.0132142057095,0.018254150075,0.010508900351,0.065527662848,0.0597580585851,908.097456097,0.0176322518091,0.0154539010093,0.00812675273465,0.0606830243738,0.0660269346368
$\sigma_{\mu}$,196.281546641,0.00295478622351,0.00408175204392,0.00234986155535,0.0146524308535,0.01336230812,203.056764203,0.00394269136416,0.00345559731744,0.0018171971551,0.013569136758,0.0147640714194
