,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,641.272055802,0.0156683851692,0.00216038142174,-0.00262627439557,0.0014078067876,0.00113346069212,498.840681196,0.0127988508209,-0.000381211016251,0.000414690538398,-0.00290888130821,-0.000108319884585
$\sigma$,258.217143738,0.00784062138799,0.00672004779422,0.00688721406387,0.0110053106416,0.012470131159,286.026667487,0.00563458982499,0.00742746300493,0.0101661975007,0.00998848901193,0.00909262678931
$\sigma_{\mu}$,57.7391086354,0.00175321624094,0.00150264836799,0.00154002788224,0.00246086227082,0.00278840609599,63.9575071879,0.0012599325874,0.00166083121794,0.00227323086843,0.00223349404232,0.00203317315949
