,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25641.2720558,1.01566838517,0.00216038142174,-0.00262627439557,-1.1160083853,-0.00427398434878,25498.8406812,1.01279885082,-0.000381211016251,0.000414690538398,1.09871513659,0.0185211125522
$\sigma$,258.217143738,0.00784062138798,0.00672004779422,0.00688721406387,0.0613179177785,0.0625374905967,286.026667487,0.00563458982498,0.00742746300493,0.0101661975007,0.0595594124336,0.0596339273474
$\sigma_{\mu}$,57.7391086354,0.00175321624094,0.00150264836799,0.00154002788224,0.0137111032391,0.0139838080116,63.9575071878,0.0012599325874,0.00166083121794,0.00227323086843,0.0133178894901,0.0133345515314
