,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25532.8731263,1.01555523434,0.00133584026285,0.00706934047213,-0.893895770849,-0.00111713303651,25485.4189376,1.01370067275,0.00344732788078,-0.00228770839817,0.90597164221,0.00839276801438
$\sigma$,257.225738931,0.00921852292914,0.00725678883729,0.00797898823215,0.0655335756769,0.0633886463947,300.059100254,0.00636664358308,0.00786859146288,0.00861252771661,0.0576426998552,0.0770649739234
$\sigma_{\mu}$,57.5174237813,0.00206132439217,0.00162266731386,0.00178415600788,0.0146537530022,0.014174132234,67.0952545435,0.00142362478403,0.00175947053982,0.00192581974324,0.0128892995283,0.0172322520377
