,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,61.3840117046,0.0103459327775,-0.0045306581775,-0.00230648448266,-0.0131231868079,-0.0107989365002,496.17198971,0.0137018747487,0.00013194566596,-0.00872561746585,0.00225089680005,0.00927105167103
$\sigma$,2421.5305777,0.0223008449747,0.0203754061108,0.013686173839,0.0828018808364,0.0221277485897,2457.15027289,0.0199495445878,0.0261159508443,0.0165469195019,0.0914595820025,0.0227710830533
$\sigma_{\mu}$,541.470698134,0.00498662053191,0.00455607931329,0.0030603215056,0.0185150634215,0.00494791500356,549.435504111,0.00446085378184,0.0058397041385,0.00370000368246,0.0204509842551,0.00509176896284
