,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,532.873126275,0.0155552343357,0.00133584026285,0.00706934047213,-0.000684040176083,0.00498797775008,485.418937588,0.0137006727496,0.00344732788078,-0.00228770839817,0.000590230419618,0.00353896898705
$\sigma$,257.225738931,0.00921852292915,0.00725678883729,0.00797898823215,0.0101914865071,0.00964675432713,300.059100253,0.00636664358307,0.00786859146288,0.00861252771661,0.0115075153312,0.0108655393154
$\sigma_{\mu}$,57.5174237812,0.00206132439217,0.00162266731386,0.00178415600788,0.00227888566216,0.00215707984377,67.0952545434,0.00142362478403,0.00175947053982,0.00192581974324,0.00257315865326,0.00242960845214
