,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25061.3840117,1.01034593278,-0.0045306581775,-0.00230648448266,-0.906334917481,-0.0169040472868,25496.1719897,1.01370187475,0.00013194566596,-0.00872561746585,0.907632308591,0.0141248506984
$\sigma$,2421.5305777,0.0223008449747,0.0203754061108,0.013686173839,0.104689412471,0.0556587145206,2457.15027289,0.0199495445878,0.0261159508443,0.0165469195019,0.111465665581,0.0815730595054
$\sigma_{\mu}$,541.470698134,0.00498662053191,0.00455607931329,0.0030603215056,0.0234092642809,0.0124456669208,549.435504111,0.00446085378184,0.0058397041385,0.00370000368246,0.0249244805396,0.0182402906187
