,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25289.8554705,1.01087746941,0.000787737306991,-0.00868307625652,-0.805824848343,0.0156207928377,25526.1563097,1.01130897488,0.000207371909726,-0.00414817274861,0.791929360515,0.00776732870783
$\sigma$,4972.05202267,0.0295670367968,0.032559434513,0.0149591711902,0.127993299851,0.0763177840306,4980.41965128,0.0313748051385,0.0349689517245,0.0102754377519,0.152493286689,0.0628310465979
$\sigma_{\mu}$,1111.78463103,0.00661139041709,0.007280510888,0.00334497236683,0.0286201719132,0.0170651752985,1113.65568967,0.00701561970704,0.00781929531579,0.00229765773117,0.0340985355149,0.014049449129
