,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,289.855470461,0.0108774694051,0.000787737306991,-0.00868307625652,-0.00841438221851,-0.00712800819391,526.156309738,0.0113089748834,0.000207371909726,-0.00414817274861,0.00150821197515,0.0106020797993
$\sigma$,4972.05202267,0.0295670367968,0.032559434513,0.0149591711902,0.14910229907,0.0220165216088,4980.41965128,0.0313748051385,0.0349689517245,0.0102754377519,0.154242324098,0.0180211767683
$\sigma_{\mu}$,1111.78463103,0.00661139041709,0.007280510888,0.00334497236683,0.0333402876321,0.00492304389454,1113.65568967,0.00701561970704,0.00781929531579,0.00229765773117,0.0344896321691,0.00402965762884
