,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,551.84685601,0.0112712597577,0.00214072921398,-0.0010430816101,0.00349558189039,-0.00247759826843,551.655145375,0.0165429673516,-0.00127715747724,0.0013402081553,-0.00463147815078,-0.00313578591725
$\sigma$,240.353816107,0.00718796591384,0.00589047543357,0.00897020455894,0.0108637979468,0.0076315662424,322.290070784,0.00970232625726,0.00680624812528,0.00774037571784,0.0111460339458,0.00824806402401
$\sigma_{\mu}$,53.7447471466,0.00160727804033,0.00131715034893,0.00200579871659,0.00242921907029,0.00170647008928,72.0662506747,0.00216950610511,0.00152192334798,0.00173080062765,0.00249232895824,0.00184432318405
