,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
0,0.0,0.0,0.0,0.0,-0.00234304793451,0.00561049617532,0.0,0.0,0.0,0.0,-0.0204982844999,-0.00688414119909
1,0.0,0.0,0.0,0.0,0.0340898480044,-0.0155876801688,0.0,0.0,0.0,0.0,0.0260110065407,-0.00763082314187
2,0.0,0.0,0.0,0.0,-0.0307920390035,0.0109848319347,0.0,0.0,0.0,0.0,-0.0352693445679,0.00851939335599
3,0.0,0.0,0.0,0.0,0.0233255062321,-0.00487166517769,0.0,0.0,0.0,0.0,0.0178607551226,0.00106215756114
4,0.0,0.0,0.0,0.0,0.0493392290485,-0.00575390803391,0.0,0.0,0.0,0.0,0.0372180793659,0.00908934346705
5,0.0,0.0,0.0,0.0,4.6244767405e-05,-0.00105737351353,0.0,0.0,0.0,0.0,0.00112402981375,0.0461572761026
6,0.0,0.0,0.0,0.0,0.0752368643127,-0.00243074598983,0.0,0.0,0.0,0.0,0.0817165779444,0.00663114553115
7,0.0,0.0,0.0,0.0,0.0316666419306,0.000248861513774,0.0,0.0,0.0,0.0,0.0427723294023,-0.0165556365369
8,0.0,0.0,0.0,0.0,0.0170034081496,0.029532499128,0.0,0.0,0.0,0.0,-0.00224555476796,-0.0349296814156
9,0.0,0.0,0.0,0.0,0.0773333546002,0.0296181669855,0.0,0.0,0.0,0.0,0.0851263252551,-0.0417902163792
10,0.0,0.0,0.0,0.0,-0.0667618053962,0.0131885008039,0.0,0.0,0.0,0.0,-0.0604194403488,-0.0124908221556
11,0.0,0.0,0.0,0.0,-0.0525407320502,-0.025347965759,0.0,0.0,0.0,0.0,-0.0776269876433,0.0130470543798
12,0.0,0.0,0.0,0.0,0.0374450618625,0.00473771715266,0.0,0.0,0.0,0.0,0.0728887730785,-0.0126865610848
13,0.0,0.0,0.0,0.0,-0.0571680952788,-0.0205769006357,0.0,0.0,0.0,0.0,-0.0555420819935,0.0237844514379
14,0.0,0.0,0.0,0.0,0.0030871498248,-0.0224360094122,0.0,0.0,0.0,0.0,-0.000648419382995,0.0312656088634
15,0.0,0.0,0.0,0.0,-0.0100288996238,0.00390535005609,0.0,0.0,0.0,0.0,-0.0129159683156,-0.00353222173614
16,0.0,0.0,0.0,0.0,-0.001102788277,-0.00720292939716,0.0,0.0,0.0,0.0,-0.0114484040499,0.010214120986
17,0.0,0.0,0.0,0.0,0.0673748863496,-0.00131498741329,0.0,0.0,0.0,0.0,0.0536090953106,0.00146798689918
18,0.0,0.0,0.0,0.0,-0.153188070561,0.0173170027933,0.0,0.0,0.0,0.0,-0.134155184249,-0.00998379286737
19,0.0,0.0,0.0,0.0,-0.120978057684,-0.0115857984429,0.0,0.0,0.0,0.0,-0.0997975404926,0.0152211999621
