,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25259.9682624,1.01465605661,-0.00290774060721,-0.00423542812588,-1.00110315637,-0.0154124386263,25512.0613524,1.01243461761,0.00797285899476,0.000633230309682,0.992947353995,0.0120507123421
$\sigma$,1528.11966339,0.0177300876787,0.0197912725585,0.0140517698325,0.0888201339201,0.059008014836,1652.55890373,0.0173753744446,0.0183365436233,0.0112652977667,0.0867006015679,0.061106056183
$\sigma_{\mu}$,341.697944511,0.00396456812965,0.0044254630802,0.00314207125497,0.0198607857216,0.0131945932391,369.523404557,0.00388525183925,0.00410017580142,0.00251899715931,0.0193868438796,0.0136637295462
