,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25553.2593725,1.01487326455,0.000251930268086,0.000634781738566,-0.994237016145,-0.0140599959642,25538.5285845,1.01187382714,-0.00249787795444,0.00212138973352,0.998058288741,0.0136337370508
$\sigma$,186.809770579,0.008940212005,0.00664810005909,0.00639564187489,0.0667416059661,0.0483242573782,309.654171479,0.00731203045196,0.00684564483815,0.00593165109261,0.0507336312024,0.0586568511554
$\sigma_{\mu}$,41.7719345875,0.00199909217764,0.00148656036533,0.0014301089992,0.0149238767868,0.010805632446,69.2407776944,0.00163501971441,0.00153073272079,0.00132635750619,0.0113443848114,0.013116070653
