,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,259.96826238,0.01465605661,-0.00290774060721,-0.00423542812588,-0.00394776703633,-0.000151127588205,512.061352406,0.0124346176146,0.00797285899476,0.000633230309682,-0.00461201192389,0.000998791305566
$\sigma$,1528.1196634,0.0177300876787,0.0197912725585,0.0140517698325,0.0601483140289,0.0149610399025,1652.55890373,0.0173753744446,0.0183365436233,0.0112652977667,0.0585588962456,0.0201715246483
$\sigma_{\mu}$,341.697944511,0.00396456812965,0.0044254630802,0.00314207125497,0.0134495718901,0.00334539022361,369.523404557,0.00388525183925,0.00410017580142,0.00251899715931,0.0130941672693,0.00451049003234
