,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,553.259372504,0.0148732645502,0.000251930268086,0.000634781738566,0.00291837318954,0.00120131507392,538.528584484,0.011873827141,-0.00249787795444,0.00212138973352,0.000498922822343,0.00258181601422
$\sigma$,186.809770579,0.00894021200499,0.00664810005909,0.00639564187489,0.00853318952502,0.0122123477117,309.654171479,0.00731203045196,0.00684564483815,0.00593165109261,0.0100632191755,0.0114980963834
$\sigma_{\mu}$,41.7719345876,0.00199909217764,0.00148656036533,0.0014301089992,0.00190807918428,0.00273076396483,69.2407776944,0.00163501971441,0.00153073272079,0.00132635750619,0.00225020421489,0.00257105251252
