,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
0,0.0,0.0,0.0,0.0,-0.0108992599498,-0.0156327402458,0.0,0.0,0.0,0.0,-0.015582192438,-0.00213851181542
1,0.0,0.0,0.0,0.0,-0.0459678617056,0.00586959801727,0.0,0.0,0.0,0.0,-0.0303922775466,-0.0173266848364
2,0.0,0.0,0.0,0.0,0.0355182400982,-0.0169492087454,0.0,0.0,0.0,0.0,0.0192163354178,-0.00426666452691
3,0.0,0.0,0.0,0.0,-0.0478566607924,-0.0198347654704,0.0,0.0,0.0,0.0,-0.024262999405,-0.0139096580333
4,0.0,0.0,0.0,0.0,-0.0416246493116,0.0275265795025,0.0,0.0,0.0,0.0,-0.0408859855591,-0.00513987887959
5,0.0,0.0,0.0,0.0,0.000591826907711,-0.0198723979033,0.0,0.0,0.0,0.0,0.0121779945041,0.00450762262715
6,0.0,0.0,0.0,0.0,0.0326913521622,-0.0109791476099,0.0,0.0,0.0,0.0,0.0615329432656,-0.0105555630299
7,0.0,0.0,0.0,0.0,-0.0262873730478,-0.0157153796349,0.0,0.0,0.0,0.0,-0.0116295458008,0.0148787740349
8,0.0,0.0,0.0,0.0,-0.0262061748925,-0.00760753771405,0.0,0.0,0.0,0.0,-0.0108159328024,-0.00921636700616
9,0.0,0.0,0.0,0.0,0.0270234184147,0.0290962158708,0.0,0.0,0.0,0.0,0.0284526328032,-0.000236783950821
10,0.0,0.0,0.0,0.0,0.00652652567694,-0.0121926746982,0.0,0.0,0.0,0.0,0.0121817880303,-0.00863233049756
11,0.0,0.0,0.0,0.0,0.0317496881481,0.00247480167991,0.0,0.0,0.0,0.0,0.0375362783361,-0.0214693512909
12,0.0,0.0,0.0,0.0,0.00200052622381,-0.0348188615189,0.0,0.0,0.0,0.0,0.0145370698948,0.0147156536547
13,0.0,0.0,0.0,0.0,-0.0421125225353,-0.0171802123919,0.0,0.0,0.0,0.0,-0.0144785497884,0.00249790765652
14,0.0,0.0,0.0,0.0,-0.0114433590546,-0.00116354796499,0.0,0.0,0.0,0.0,0.00246231398724,0.000546473182367
15,0.0,0.0,0.0,0.0,-0.018088857806,-0.00279713087365,0.0,0.0,0.0,0.0,0.00358635513477,-0.00369866794761
16,0.0,0.0,0.0,0.0,0.0345706800881,0.00154269193618,0.0,0.0,0.0,0.0,0.0546604327544,-0.0047345717904
17,0.0,0.0,0.0,0.0,-0.012035745267,0.0147011577091,0.0,0.0,0.0,0.0,0.00388714862935,-0.00726039518653
18,0.0,0.0,0.0,0.0,0.0371847395958,0.00193779843034,0.0,0.0,0.0,0.0,0.0643822596871,-0.00326539880734
19,0.0,0.0,0.0,0.0,0.0230834524405,-0.0296309832098,0.0,0.0,0.0,0.0,0.00859486763304,0.0270297038131
