,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25495.4035149,1.01615439838,0.00222173104745,-0.00207932438265,-1.21386524417,0.00155736928243,25242.2177887,1.00816560762,-0.00422285544163,-0.00226561822244,1.22094729408,0.00950253752757
$\sigma$,610.710513806,0.013823204069,0.0124007347464,0.0112219336699,0.0735255262289,0.0664255716752,593.333333746,0.0102465379801,0.012824770008,0.0113134710674,0.0651494648849,0.0490120774996
$\sigma_{\mu}$,136.559022344,0.00309096239652,0.00277288858639,0.00250930065248,0.0164408074729,0.014853209371,132.673366757,0.00229119554575,0.00286770575337,0.00252976903682,0.014567863218,0.0109594337008
