,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25444.4354791,1.01377029592,0.000305546172202,0.0020484395291,-1.21375115547,0.011062941989,25377.7794512,1.01491552963,-0.000261451685955,0.00128252152172,1.21140312955,0.00831268702221
$\sigma$,215.79546988,0.00814241267606,0.00695832470821,0.00896521423519,0.0682419663204,0.0689682207881,194.983611137,0.00698471805735,0.00466414097287,0.00846194055401,0.0504420083964,0.0482866266706
$\sigma_{\mu}$,48.2533339889,0.00182069882445,0.00155592870571,0.00200468284627,0.0152593675611,0.0154217629969,43.5996609,0.00156183043799,0.0010429336272,0.00189214743003,0.0112791759696,0.010797217964
