,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25445.3079941,1.01284104972,0.00110464264676,0.00205526076037,-0.689395946593,0.0119248355353,25336.225906,1.01403106879,0.00164727472541,0.00184934482683,0.678274522865,0.0244286660766
$\sigma$,230.209193207,0.00948365198914,0.00601828298108,0.00749754054364,0.0573355898272,0.0703119794998,236.494035189,0.00803760746223,0.0057327417248,0.00772817256272,0.056881125415,0.044446795108
$\sigma_{\mu}$,51.4763405057,0.00212060905227,0.00134572898535,0.00167650103196,0.0128206276384,0.0157222365794,52.8816738956,0.0017972636662,0.00128188001941,0.00172807191921,0.0127190063065,0.00993860552435
