,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,445.307994061,0.0128410497235,0.00110464264676,0.00205526076037,0.00134997979038,-0.000705177275842,336.22590596,0.0140310687861,0.00164727472541,0.00184934482683,-0.00268564918488,0.00107241311049
$\sigma$,230.209193206,0.00948365198914,0.00601828298108,0.00749754054364,0.00916009972401,0.0128835359119,236.494035189,0.00803760746225,0.0057327417248,0.00772817256272,0.0105766557654,0.0112721664077
$\sigma_{\mu}$,51.4763405054,0.00212060905227,0.00134572898535,0.00167650103196,0.00204826056636,0.00288084620895,52.8816738957,0.00179726366621,0.00128188001941,0.00172807191921,0.00236501212661,0.00252053303412
