,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,1440.02872717,0.0122664529682,0.00595704595284,0.00711903402865,0.0199499993014,0.0105442248518,-746.122787602,0.00793988931353,-0.00112324621071,0.0130272729144,0.0430954076218,-0.0263781727181
$\sigma$,8941.76638168,0.0539546093662,0.0490178881466,0.0252389705317,0.242597344394,0.0527515961349,8909.11741542,0.0486188286104,0.0397982544327,0.0271002951719,0.253612578459,0.0587894302805
$\sigma_{\mu}$,1999.43974683,0.0120646174242,0.0109607330009,0.00564360537909,0.0542464153227,0.0117956154879,1992.13921604,0.0108715005759,0.00889916022973,0.00605981022147,0.0567094965383,0.0131457162466
